",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP"
"1,1,NYK,Patrick Ewing\ewingpa01,Georgetown University,17,1183,40594,24815,11607,2215,.504,.152,.740,34.3,21.0,9.8,1.9,126.4,.150,2.0,40.9"
"2,2,IND,Wayman Tisdale\tisdawa01,University of Oklahoma,12,840,23868,12878,5117,1077,.505,.000,.760,28.4,15.3,6.1,1.3,45.7,.092,-2.0,0.0"
"3,3,LAC,Benoit Benjamin\benjabe01,Creighton University,15,807,21911,9223,6063,1070,.497,.048,.721,27.2,11.4,7.5,1.3,32.7,.072,-1.3,4.0"
"4,4,SEA,Xavier McDaniel\mcdanxa01,Wichita State University,12,870,25201,13606,5313,1775,.485,.261,.718,29.0,15.6,6.1,2.0,47.8,.091,0.1,13.4"
"5,5,ATL,Jon Koncak\koncajo01,Southern Methodist University,11,784,16409,3520,3856,785,.470,.226,.597,20.9,4.5,4.9,1.0,29.2,.085,-0.1,8.0"
"6,6,SAC,Joe Kleine\kleinjo01,University of Arkansas,15,965,14712,4666,3991,622,.453,.271,.794,15.2,4.8,4.1,0.6,19.1,.062,-3.6,-5.9"
"7,7,GSW,Chris Mullin\mullich01,St. John's University,16,986,32163,17911,4034,3450,.509,.384,.865,32.6,18.2,4.1,3.5,93.1,.139,2.8,38.7"
"8,8,DAL,Detlef Schrempf\schrede01,University of Washington,16,1136,33597,15761,7023,3833,.491,.384,.803,29.6,13.9,6.2,3.4,109.5,.156,2.1,35.0"
"9,9,CLE,Charles Oakley\oaklech01,Virginia Union University,19,1282,40280,12417,12205,3217,.471,.253,.761,31.4,9.7,9.5,2.5,89.7,.107,1.5,35.3"
"10,10,PHO,Ed Pinckney\pincked01,Villanova University,12,793,15698,5378,3952,727,.535,.000,.765,19.8,6.8,5.0,0.9,42.7,.130,0.8,11.2"
"11,11,CHI,Keith Lee\leeke01,University of Memphis,3,182,2907,1114,861,178,.451,.167,.746,16.0,6.1,4.7,1.0,3.7,.062,-2.0,0.0"
"12,12,WSB,Kenny Green\greenke02,Wake Forest University,2,60,625,265,101,16,.412,.000,.721,10.4,4.4,1.7,0.3,-0.3,-.022,-9.3,-1.1"
"13,13,UTA,Karl Malone\malonka01,Louisiana Tech University,19,1476,54852,36928,14968,5248,.516,.274,.742,37.2,25.0,10.1,3.6,234.6,.205,5.4,102.5"
"14,14,SAS,Alfredrick Hughes\hugheri01,Loyola University of Chicago,1,68,866,356,113,61,.409,.176,.583,12.7,5.2,1.7,0.9,-0.5,-.029,-6.5,-1.0"
"15,15,DEN,Blair Rasmussen\rasmubl01,University of Oregon,8,532,11409,5119,3006,467,.472,.257,.767,21.4,9.6,5.7,0.9,19.0,.080,-3.1,-3.1"
"16,16,DAL,Bill Wennington\wennibi01,St. John's University,13,720,9740,3301,2148,440,.459,.139,.787,13.5,4.6,3.0,0.6,17.7,.087,-3.1,-2.7"
"17,17,DAL,Uwe Blab\blabuw01,Indiana University,5,235,1966,505,413,102,.433,,.608,8.4,2.1,1.8,0.4,0.4,.009,-4.8,-1.4"
"18,18,DET,Joe Dumars\dumarjo01,McNeese State University,14,1018,35139,16401,2203,4612,.460,.382,.843,34.5,16.1,2.2,4.5,86.2,.118,0.2,19.3"
"19,19,HOU,Steve Harris\harrist01,University of Tulsa,5,207,2840,1440,365,238,.434,.050,.842,13.7,7.0,1.8,1.1,3.1,.053,-3.7,-1.2"
"20,20,BOS,Sam Vincent\vincesa01,Michigan State University,7,396,7527,3106,819,1543,.449,.182,.863,19.0,7.8,2.1,3.9,10.9,.069,-2.5,-0.9"
"21,21,PHI,Terry Catledge\catlete01,University of South Alabama,8,515,13541,6520,3314,459,.485,.094,.654,26.3,12.7,6.4,0.9,20.9,.074,-2.3,-1.0"
"22,22,MIL,Jerry Reynolds\reynoje01,Louisiana State University,8,443,8379,4036,1317,904,.418,.226,.749,18.9,9.1,3.0,2.0,10.5,.060,-0.3,3.5"
"23,23,LAL,A.C. Green\greenac01,Oregon State University,16,1278,36552,12331,9473,1400,.494,.254,.734,28.6,9.6,7.4,1.1,99.5,.131,0.4,22.2"
"24,24,POR,Terry Porter\portete01,University of Wisconsin-Stevens Point,17,1274,35354,15586,3872,7160,.463,.386,.836,27.8,12.2,3.0,5.6,110.4,.150,2.0,35.9"
"25,25,POR,Mike Smrek\smrekmi01,Canisius College,7,194,1890,554,422,49,.431,.000,.617,9.7,2.9,2.2,0.3,0.7,.018,-5.0,-1.4"
"26,26,IND,Bill Martin\martibi01,Georgetown University,3,84,860,397,136,58,.449,.000,.813,10.2,4.7,1.6,0.7,0.3,.016,-5.1,-0.7"
"27,27,IND,Dwayne McClain\mccladw01,Villanova University,1,45,461,157,30,67,.383,.111,.514,10.2,3.5,0.7,1.5,-0.3,-.026,-4.8,-0.3"
"28,28,CHI,Ken Johnson\johnske01,Michigan State University,1,64,815,263,243,19,.528,,.435,12.7,4.1,3.8,0.3,0.8,.044,-5.0,-0.6"
"29,29,SAS,Mike Brittain\brittmi01,University of South Carolina,2,38,248,63,53,7,.500,,.524,6.5,1.7,1.4,0.2,-0.1,-.011,-6.6,-0.3"
"30,30,CLE,Calvin Duncan,Virginia Commonwealth University,,,,,,,,,,,,,,,,,"
"31,31,WSB,Manute Bol\bolma01,University of Bridgeport,10,624,11698,1599,2647,171,.407,.210,.561,18.7,2.6,4.2,0.3,12.3,.051,-0.6,4.2"
"32,32,PHO,Nick Vanos\vanosni01,Santa Clara University,2,68,842,222,240,59,.383,.000,.561,12.4,3.3,3.5,0.9,-0.1,-.007,-4.2,-0.5"
"33,33,PHI,Greg Stokes\stokegr01,University of Iowa,2,42,384,130,62,17,.445,.000,.696,9.1,3.1,1.5,0.4,0.3,.041,-3.5,-0.1"
"34,34,CHI,Aubrey Sherrod,Wichita State University,,,,,,,,,,,,,,,,,"
"35,35,SAS,Tyrone Corbin\corbity01,DePaul University,16,1065,27657,9766,5046,1894,.456,.299,.791,26.0,9.2,4.7,1.8,56.5,.098,0.8,19.2"
"36,36,NJN,Yvon Joseph\josepyv01,Georgia Institute of Technology,1,1,5,2,0,0,,,1.000,5.0,2.0,0.0,0.0,0.0,.309,-0.9,0.0"
"37,37,UTA,Carey Scurry\scurrca01,Long Island University,3,180,2376,847,524,192,.480,.250,.666,13.2,4.7,2.9,1.1,5.3,.107,3.0,3.0"
"38,38,NJN,Fernando Martin\martife01,,1,24,146,22,28,9,.290,.000,.364,6.1,0.9,1.2,0.4,-0.4,-.144,-8.7,-0.2"
