",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP"
"1,1,SAS,David Robinson\robinda01,United States Naval Academy,14,987,34271,20790,10497,2441,.518,.250,.736,34.7,21.1,10.6,2.5,178.7,.250,7.4,80.9"
"2,2,PHO,Armen Gilliam\gilliar01,University of Nevada Las Vegas,13,929,26421,12700,6401,1088,.489,.000,.776,28.4,13.7,6.9,1.2,58.1,.106,-1.1,6.2"
"3,3,NJN,Dennis Hopson\hopsode01,Ohio State University,5,334,7509,3633,939,539,.431,.271,.765,22.5,10.9,2.8,1.6,7.1,.046,-2.1,-0.3"
"4,4,LAC,Reggie Williams\willire01,Georgetown University,10,599,16013,7508,2393,1492,.437,.298,.784,26.7,12.5,4.0,2.5,26.0,.078,0.5,10.3"
"5,5,SEA,Scottie Pippen\pippesc01,University of Central Arkansas,17,1178,41069,18940,7494,6135,.473,.326,.704,34.9,16.1,6.4,5.2,125.1,.146,4.7,69.6"
"6,6,SAC,Kenny Smith\smithke01,University of North Carolina,10,737,22213,9397,1454,4073,.480,.399,.829,30.1,12.8,2.0,5.5,46.8,.101,-1.2,4.4"
"7,7,CLE,Kevin Johnson\johnske02,University of California,12,735,25061,13127,2404,6711,.493,.305,.841,34.1,17.9,3.3,9.1,92.8,.178,2.4,28.0"
"8,8,CHI,Olden Polynice\polynol01,University of Virginia,15,1058,24884,8265,7110,744,.505,.192,.535,23.5,7.8,6.7,0.7,46.8,.090,-1.6,2.7"
"9,9,SEA,Derrick McKey\mckeyde01,University of Alabama,15,937,27229,10266,4387,2254,.486,.316,.779,29.1,11.0,4.7,2.4,61.8,.109,2.0,27.3"
"10,10,CHI,Horace Grant\grantho01,Clemson University,17,1165,38621,12996,9443,2575,.509,.063,.692,33.2,11.2,8.1,2.2,118.2,.147,2.6,44.4"
"11,11,IND,Reggie Miller\millere01,University of California Los Angeles,18,1389,47619,25279,4182,4141,.471,.395,.888,34.3,18.2,3.0,3.0,174.4,.176,3.3,63.2"
"12,12,WSB,Muggsy Bogues\boguemu01,Wake Forest University,14,889,25429,6858,2318,6726,.458,.278,.827,28.6,7.7,2.6,7.6,54.0,.102,-1.2,5.2"
"13,13,LAC,Joe Wolf\wolfjo01,University of North Carolina,11,592,9636,2485,1933,596,.423,.164,.770,16.3,4.2,3.3,1.0,3.5,.017,-4.1,-5.2"
"14,14,GSW,Tellis Frank\frankte01,Western Kentucky University,5,264,4703,1710,1022,276,.439,.000,.741,17.8,6.5,3.9,1.0,4.0,.041,-3.0,-1.2"
"15,15,UTA,Jose Ortiz\ortizjo01,Oregon State University,2,64,391,183,73,18,.443,.333,.596,6.1,2.9,1.1,0.3,0.0,.002,-5.4,-0.3"
"16,16,PHI,Chris Welp\welpch01,University of Washington,3,109,1173,359,265,43,.446,.000,.681,10.8,3.3,2.4,0.4,1.0,.042,-3.5,-0.4"
"17,17,POR,Ronnie Murphy\murphro01,Jacksonville University,1,18,89,36,11,6,.286,.250,.636,4.9,2.0,0.6,0.3,-0.2,-.130,-10.7,-0.2"
"18,18,NYK,Mark Jackson\jacksma01,St. John's University,17,1296,39121,12489,4963,10334,.447,.332,.770,30.2,9.6,3.8,8.0,91.8,.113,0.7,27.1"
"19,19,LAC,Ken Norman\normake01,University of Illinois at Urbana-Champaign,10,646,18992,8717,3949,1355,.486,.312,.567,29.4,13.5,6.1,2.1,27.1,.069,-0.6,6.5"
"20,20,DAL,Jim Farmer\farmeji01,University of Alabama,5,136,1454,715,186,111,.428,.282,.730,10.7,5.3,1.4,0.8,0.7,.024,-5.0,-1.1"
"21,21,ATL,Dallas Comegys\comegda01,DePaul University,2,142,2241,856,452,95,.457,.000,.682,15.8,6.0,3.2,0.7,1.1,.024,-3.8,-1.0"
"22,22,BOS,Reggie Lewis\lewisre01,Northeastern University,6,450,14676,7902,1938,1153,.488,.200,.824,32.6,17.6,4.3,2.6,38.9,.127,1.5,13.1"
"23,23,SAS,Greg Anderson\andergr01,University of Houston,10,680,14040,4953,4246,385,.492,.087,.557,20.6,7.3,6.2,0.6,18.7,.064,-2.7,-2.6"
"24,24,DET,Fred Banks,University of Nevada Las Vegas,,,,,,,,,,,,,,,,,"
"25,25,NYK,Ron Moore\moorero01,West Virginia State University,1,14,59,24,8,1,.310,,.750,4.2,1.7,0.6,0.1,-0.1,-.074,-12.0,-0.1"
"26,26,DAL,Steve Alford\alforst01,Indiana University,4,169,1641,744,144,176,.459,.324,.870,9.7,4.4,0.9,1.0,3.2,.093,-2.4,-0.2"
"27,27,SAS,Nate Blackwell\blackna01,Temple University,1,10,112,37,6,18,.366,.182,.833,11.2,3.7,0.6,1.8,-0.1,-.045,-8.6,-0.2"
"28,28,CHI,Rickie Winslow\winslri01,University of Houston,1,7,45,7,7,2,.231,.000,.500,6.4,1.0,1.0,0.3,-0.2,-.165,-11.0,-0.1"
"29,29,POR,Lester Fonville,Jackson State University,,,,,,,,,,,,,,,,,"
"30,30,POR,Nikita Wilson\wilsoni01,Louisiana State University,1,15,54,19,11,3,.304,,.833,3.6,1.3,0.7,0.2,-0.1,-.099,-13.0,-0.2"
"31,31,DEN,Andre Moore\moorean01,Loyola University of Chicago,1,10,50,24,14,6,.333,,.750,5.0,2.4,1.4,0.6,0.0,-.013,-4.1,0.0"
"32,32,MIL,Bob McCann\mccanbo01,Morehead State University,5,178,2385,739,468,104,.479,.200,.577,13.4,4.2,2.6,0.6,2.0,.041,-3.3,-0.8"
"33,33,CHI,Tony White\whiteto01,University of Tennessee,1,49,581,261,31,59,.446,.000,.722,11.9,5.3,0.6,1.2,-0.3,-.025,-7.5,-0.8"
"34,34,IND,Brian Rowsom\rowsobr01,University of North Carolina at Wilmington,3,82,1092,457,273,47,.455,.667,.818,13.3,5.6,3.3,0.6,2.4,.107,-2.1,0.0"
"35,35,HOU,Doug Lee\leedo01,Purdue University,3,73,415,168,42,32,.412,.310,.700,5.7,2.3,0.6,0.4,0.7,.086,-2.9,-0.1"
"36,36,WSB,Duane Washington\washidu01,Middle Tennessee State University,2,19,184,54,24,39,.383,.500,.800,9.7,2.8,1.3,2.1,0.4,.092,-1.7,0.0"
"37,37,WSB,Derrick Dowell,University of Southern California,,,,,,,,,,,,,,,,,"
"38,38,LAC,Norris Coleman\colemno01,Kansas State University,1,29,431,153,81,13,.346,.500,.556,14.9,5.3,2.8,0.4,-0.4,-.046,-8.3,-0.7"
"39,39,PHI,Vincent Askew\askewvi01,University of Memphis,9,467,9361,3311,1176,1017,.479,.300,.754,20.0,7.1,2.5,2.2,22.1,.113,-0.5,3.6"
"40,40,MIL,Winston Garland\garlawi01,Missouri State University,7,511,13391,4799,1433,2421,.430,.281,.830,26.2,9.4,2.8,4.7,14.2,.051,-1.8,0.5"
"41,41,CLE,Kannard Johnson\johnska01,Western Kentucky University,1,4,12,2,0,0,.333,,,3.0,0.5,0.0,0.0,-0.1,-.238,-12.2,0.0"
"42,42,ATL,Terence Bailey,Wagner College,,,,,,,,,,,,,,,,,"
"43,43,PHI,Andrew Kennedy,University of Virginia,,,,,,,,,,,,,,,,,"
"44,44,ATL,Terry Coner,University of Alabama,,,,,,,,,,,,,,,,,"
"45,45,BOS,Brad Lohaus\lohaubr01,University of Iowa,11,656,10378,3854,1869,714,.440,.361,.733,15.8,5.9,2.8,1.1,15.2,.070,-1.0,2.5"
"46,46,PHO,Bruce Dalrymple,Georgia Institute of Technology,,,,,,,,,,,,,,,,,"
"47,47,LAC,Tim McCalister,University of Oklahoma,,,,,,,,,,,,,,,,,"
"48,48,NJN,Jamie Waller\walleja01,Virginia Union University,1,9,91,42,13,3,.400,.000,.556,10.1,4.7,1.4,0.3,-0.2,-.097,-8.9,-0.2"
"49,49,NYK,Jerome Batiste,McNeese State University,,,,,,,,,,,,,,,,,"
"50,50,SAS,Phil Zevenbergen\zevenph01,University of Washington,1,8,58,30,13,3,.556,,.000,7.3,3.8,1.6,0.4,0.0,.041,-4.0,0.0"
"51,51,SAC,Sven Myer,University of Oregon,,,,,,,,,,,,,,,,,"
"52,52,CLE,Donald Royal\royaldo01,University of Notre Dame,8,504,8442,3161,1431,500,.473,.000,.770,16.8,6.3,2.8,1.0,19.1,.109,-1.7,0.7"
"53,53,PHO,Winston Crite\critewi01,Texas A&M University,2,31,264,87,65,15,.479,,.760,8.5,2.8,2.1,0.5,0.1,.012,-4.4,-0.2"
"54,54,DEN,Tom Schafer,Iowa State University,,,,,,,,,,,,,,,,,"


