",,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced"
"Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP"
"1,1,MIL,Andrew Bogut\bogutan01,University of Utah,14,706,19862,6808,6112,1546,.535,.120,.557,28.1,9.6,8.7,2.2,50.6,.122,2.3,21.6"
"2,2,ATL,Marvin Williams\willima02,University of North Carolina,14,1014,29030,10622,5363,1313,.443,.362,.807,28.6,10.5,5.3,1.3,62.7,.104,-0.2,13.0"
"3,3,UTA,Deron Williams\willide01,University of Illinois at Urbana-Champaign,12,845,28865,13804,2619,6819,.445,.357,.822,34.2,16.3,3.1,8.1,77.3,.129,1.3,23.8"
"4,4,NOH,Chris Paul\paulch01,Wake Forest University,14,950,33350,17597,4262,9181,.469,.370,.868,35.1,18.5,4.5,9.7,171.5,.247,7.3,78.3"
"5,5,CHA,Raymond Felton\feltora01,University of North Carolina,14,971,28829,10853,2867,5096,.412,.329,.790,29.7,11.2,3.0,5.2,40.2,.067,-0.6,9.9"
"6,6,POR,Martell Webster\webstma02,,10,580,13914,5056,1811,588,.418,.382,.791,24.0,8.7,3.1,1.0,24.7,.085,-0.7,4.6"
"7,7,TOR,Charlie Villanueva\villach01,University of Connecticut,11,656,13578,6808,3019,549,.435,.341,.772,20.7,10.4,4.6,0.8,22.6,.080,-1.8,0.6"
"8,8,NYK,Channing Frye\fryech01,University of Arizona,13,890,19772,7786,4002,864,.440,.388,.822,22.2,8.7,4.5,1.0,38.9,.094,-0.2,8.9"
"9,9,GSW,Ike Diogu\dioguik01,Arizona State University,6,225,2795,1348,689,69,.509,.500,.786,12.4,6.0,3.1,0.3,6.5,.112,-4.8,-2.0"
"10,10,LAL,Andrew Bynum\bynuman01,,8,418,10690,4822,3221,490,.556,.111,.690,25.6,11.5,7.7,1.2,37.4,.168,1.3,9.0"
"11,11,ORL,Fran Vazquez\vazqufr01,,,,,,,,,,,,,,,,,,"
"12,12,LAC,Yaroslav Korolev\korolya01,,2,34,168,39,16,13,.283,.250,.625,4.9,1.1,0.5,0.4,-0.1,-.024,-6.4,-0.2"
"13,13,CHA,Sean May\mayse01,University of North Carolina,4,119,1868,821,481,115,.458,.231,.746,15.7,6.9,4.0,1.0,2.6,.068,-2.4,-0.2"
"14,14,MIN,Rashad McCants\mccanra01,University of North Carolina,4,249,5037,2479,506,331,.431,.368,.741,20.2,10.0,2.0,1.3,3.6,.035,-2.5,-0.6"
